segment,revenue_30,revenue_90,revenue_growth_rate_90,revenue_365,num_orders_90,avg_order_value_90,cash_collected_90,revenue_to_cash_ratio_90,current_ratio,quick_ratio,debt_to_equity,dscr,liquidity_buffer_months,on_time_payment_rate_12m,avg_payment_delay_days_12m,refund_rate_90,chargeback_rate_90,partial_payment_frequency_90,fulfillment_time_median_30,fulfillment_on_time_rate_30,order_defect_rate_30,inventory_stockout_days_90,fulfillment_cost_per_order_90,repeat_purchase_rate_90,avg_customer_lifetime_value_est,customer_churn_rate_90,avg_order_frequency_per_customer_90,avg_rating_score_90,suspicious_account_flag,fraud_score_model_30,sanctions_or_politically_exposed_flag,aml_alert_count_12m,business_age_months,legal_entity_type,registered_office_changes_12m,tax_filing_up_to_date_flag,industry_code,owner_tenure_years,management_turnover_12m,owner_prior_business_failures_flag,related_party_transactions_flag,cac_90,channel_diversification_index,paid_vs_organic_share_90,marketing_return_on_ad_spend_90,supplier_concentration_top3_pct,avg_supplier_lead_time_days_90,supplier_default_flag_12m,procurement_payment_terms_median_days,top3_skus_rev_share_90,sku_return_rate_top3_90,sku_margin_median,sku_seasonality_strength_top3,industry_growth_rate_qoq,local_consumer_sentiment_index,exchange_rate_exposure_flag,regional_unemployment_rate,revenue_volatility_90,revenue_trend_slope_90,num_negative_cash_months_12m,feature_drift_flag_recent,liquidity_buffer_score,payment_reliability_score,business_stability_index,supply_chain_risk_index
Micro,50000000.0,59863930.01368603,0.19727860027372063,291256621.29250336,360,166288.6944824612,23135665.692156143,0.38647087965769855,1.2412125522476656,1.3721249706457197,1.645025408069276,0.3057329372066725,2.817983438565232,0.5486849365498051,8.498590688452435,0.04556665940078826,5.986701073374709e-05,5,8.137047011488162,0.7943907050392345,0.0009030073231714354,15,6011077.353727611,0.3743904726115393,33084310.877528578,0.16555311024915684,0.6419834549824114,3.7431986922593725,0,0.5495582367767381,0,0,0.623379704915294,sole_prop,0,1,retail,5.272388470738683,0,0,0,6185257.836406693,0.5931098080460842,0.07344778733903295,2.9084584611840243,99.00154125603294,15.579489757892935,0,16.328316685155393,75.48970021601971,0.017073400753233457,76.66193712583384,0.4607326563207904,-2.418209439486075,47.82830252404883,0,2.894070616368456,0.13545188944258066,-0.22510923727440313,3,0,46.96639064275387,54.01863458613527,63.22740552787097,42.70948449303707
Large,5000000000.0,4982713793.592243,-0.003457241281551361,30801298698.841694,187,26645528.30797991,3928019785.039328,0.7883294019597816,1.1657401785535035,1.5739976879836124,2.410444414445354,1.254990525594832,1.7834643789761395,0.6677006452167589,5.142939814496424,0.001189562183130888,0.004543433063883022,5,8.925416061475334,0.6253481344926113,0.0014698776409219404,17,5274257.419380338,0.053471246712660125,95604261.8764213,0.36079197021924064,1.4770077717589094,4.529092881172249,0,0.11399295933476135,0,0,19.014608140922114,sole_prop,0,1,retail,4.794482305847989,0,1,0,54626732.16021527,0.6392212550417647,0.0793295781968555,17.723811119865292,39.28136847564834,-1.1199141402381567,0,39.35446680433171,63.99373396457316,0.022214703311285815,43.82718840309528,0.9330216860143685,9.082344828650704,45.76819887561469,0,3.960134657411939,0.26454780073771716,-0.12307514627321824,4,0,29.724406316268993,66.25577054022625,46.77260996311414,80.91927283229491
Small,300000000.0,372629524.0995111,0.24209841366503695,2459539302.5212126,292,1276128.5071901064,278474609.269137,0.7473229877371985,1.58260165539316,1.3776528232666494,1.6932748919306617,0.5007394341964803,2.1110925054580894,0.5683261903735504,12.139385319139748,0.005416819438074558,0.00033539468902247935,6,11.209223353766681,0.2468170125809119,0.013674597158303126,17,4515070.684293397,0.5082708895137565,41863110.63463717,0.25558994998885937,1.175182728199263,4.447903085788314,0,0.4189866097631852,0,1,15.837302896003223,sole_prop,0,1,e-commerce,3.834752032408029,1,0,0,163444061.9650758,0.4456147921709203,0.2488793850777043,3.4069634465148533,96.89152393416455,17.219586062035177,0,25.80042177590693,97.87047919270967,0.006330060557736933,95.29896614001382,0.25114022229153593,5.84706660958436,54.33888638231526,0,3.3402706945698237,0.6714182491240396,-0.0002220478385502083,2,1,35.184875090968156,55.61868050544106,41.42908754379802,42.944445001900135
Small,300000000.0,357819704.51135963,0.19273234837119876,2191029390.934765,109,3282749.582673024,288390135.961435,0.8059649379993258,1.0980334310131386,1.1187996437517809,2.3954471350940487,1.0462308922073447,2.229025434292141,0.365628860453727,11.056162969706168,0.037661469186080015,0.008867807082748083,4,6.6768643776032155,0.7490076868213695,0.0011708559951927912,18,6125454.119914535,0.4615137394463834,114638530.2819413,0.6441644813043343,1.197585925770118,2.939147225734639,0,0.6497774789495828,0,0,23.869304888826665,sole_prop,0,1,retail,0.8643305848889478,1,1,0,24741673.187199734,0.5167920874113034,0.02664208414673825,2.23383369176646,38.83373783722848,24.881794932536028,0,25.44927954498582,70.71898043636567,0.009916075431424112,45.46862863019768,0.52940328008865,4.297927179083621,53.6795119004965,1,5.12104763781603,0.3078703933575978,0.22919977242573958,0,0,37.150423904869015,35.457269748402084,79.60648033212011,68.14223361511775
Micro,50000000.0,87828356.79150352,0.7565671358300704,489451158.3386189,160,548927.229946897,85247732.30476964,0.9706174112666135,0.24425201490027976,0.21443382634868116,0.2667648575258467,0.5806490687468968,2.2773830867720815,0.5977794338767921,7.576281893244398,0.00863097626792343,0.01191980622177695,2,8.783279488313234,0.5958799615476255,0.007624936650437349,16,289790.728688336,0.5898377905871944,182839984.81739965,0.3738443192158976,0.7450718166803607,4.067466583818477,0,0.23360834295754557,0,0,28.846318659479486,llc,0,1,e-commerce,4.529581717288922,1,0,0,28472520.65964136,0.6428834426601113,0.6542087638067632,1.4479556409335346,92.89534949563144,-1.0224961329807858,0,32.04205230805379,86.30659046792638,0.029325401911567735,29.388617454444173,0.22018272875713404,5.439027222048579,56.93952540371844,0,3.43328385025659,0.47412471893676045,0.03329292053036294,5,0,37.95638477953469,59.020315198354766,21.29376405316198,54.06357331867468
Micro,50000000.0,111587202.13410848,1.2317440426821697,502204227.58850235,229,487280.35866422916,109901355.78189856,0.9848921173757558,0.47980292918803513,0.44610982926073167,1.4070047012819678,1.6728523519363931,1.9540337977607543,0.43737868696967797,10.199575720297762,0.010765619963693199,0.006526503711232527,6,9.617123355621665,0.7862218927533378,0.0022016664394168065,22,7735145.299145034,0.009689932014090774,151208228.49798304,0.5898762894766496,1.5520114502076259,3.557584045237344,0,0.09455761716296174,0,0,14.646068004767628,sole_prop,1,1,retail,4.054751752743718,2,0,0,5571160.665868997,0.4481755529368278,0.1454763308929793,1.449823926264458,97.5025875906197,14.483265034032211,0,20.097079791013762,76.48510246710426,0.05801448926694848,49.09762740422976,0.6250856189425613,4.517135840117888,49.96665457049368,0,5.101461870828706,0.17177003671188734,-0.03513523943294232,0,0,32.56722996267924,42.71791112493802,81.41149816440563,44.007073687674044
Micro,50000000.0,91430779.92478627,0.8286155984957254,568628901.37604,238,384162.9408604465,86786426.36345854,0.9492036099314879,0.2521078756540315,0.2726473786301842,2.7594937355310423,0.4419697341463721,2.3089700320227706,0.6838060785312678,13.33196382308827,0.020591326062294316,0.015132471626852512,2,3.2225701575218553,0.4378657061414372,0.01075512027135143,12,3830627.154698519,0.19248349556012065,97618965.71165028,0.5366366537650362,1.7778108421144871,4.854731713513124,0,0.43353431867281145,0,0,29.29702589660957,sole_prop,0,1,other,7.4548965603993285,1,0,0,22184595.38250757,0.197939290348208,0.2764768245819231,1.0248599198635255,29.860198866397692,5.07575968804257,0,25.634322838575372,89.0186949458503,0.0244159471725439,82.14300800314433,0.3581614772142684,3.374398871191148,44.435301734296196,0,5.502711690825651,0.22653081580138087,-0.004038792094037641,1,0,38.48283386704618,67.04741147081796,73.67345920993095,82.53202072277986
Medium,1500000000.0,3284961168.1452823,1.1899741120968548,24775651729.20932,486,6759179.358323626,1872554629.2653668,0.5700385890170591,1.4576536957161748,1.3087459295271529,2.5969631676982963,1.3976250606302671,1.5378031271427803,0.18891862375946855,13.764656860994112,0.014336942521213132,0.010995528242568277,3,10.748510454000243,0.2522770313656062,0.003052347180823877,14,2921677.0291819405,0.7469504751629936,199785902.18994978,0.7847856554378636,1.1734930247727304,2.2259355201044286,0,0.16982123869195906,0,0,28.09632545586087,sole_prop,0,1,e-commerce,7.265323431626111,2,0,0,71630285.90684019,0.3907265288637881,0.6278456775231164,6.335032566818702,71.4791544720074,8.739380975144654,0,39.58169674801785,45.27734051169487,0.0007430222619238844,85.12611065277741,0.3554693115439977,4.456451256425241,41.75878094821074,0,3.6551695578775565,0.4767704105487017,0.02723394958451137,2,0,25.630052119046336,17.515396689847442,46.16147947256492,59.890732276423975
Small,300000000.0,592859516.3737994,0.9761983879126648,1799069526.410092,251,2361990.1050748983,557128641.6899458,0.939731296037213,0.06404145128394632,0.06984262819198368,1.8918232446631134,0.058292681161685914,2.1398822463567253,0.3964538288154942,12.229604104393015,0.0025619967062726675,0.0016813745559671946,8,12.087649043704193,0.3506954830833162,0.01609712300006845,20,2646180.6773189656,0.3326660940627174,48542697.50705842,0.8696679489444571,1.5661562832151252,4.375839805949702,0,0.6652801249682243,0,0,22.868608124786256,sole_prop,0,1,retail,1.335686208291551,1,0,0,152347150.0410898,0.28957103144246094,0.12561851581075398,4.639026334673449,71.01927093578009,17.328519474097348,0,17.29854707701082,40.465617027680665,0.011068812460031129,71.54121547342704,0.34447909327126974,-0.8863989419296736,44.397706051594376,1,3.0124798720094725,0.5387037143935319,-0.0709380137246897,2,0,35.66470410594542,38.42242247111012,48.064814280323404,55.82610479506128
Small,300000000.0,567544929.9320279,0.8918164331067597,2082688492.238325,353,1607776.005473167,520703819.861906,0.9174671332616223,0.6771154973128967,0.6193331249949634,1.3215951904656695,1.5607409419037166,1.2809442705996918,0.18174463629308468,6.909881946927619,0.006816458091098959,0.003636235174413693,2,9.292928252815356,0.8956215364858898,0.0004236133797401741,21,4660174.391971084,0.18972883275884206,135094838.33589527,0.27315095003739637,0.6391957854490692,4.351143784772262,0,0.28801223797784575,0,0,15.10822651309579,sole_prop,0,0,retail,6.637750074627455,0,0,0,86806920.65510587,0.5424673524696635,0.19863278024926723,3.1775902307450554,89.74193927264265,8.167125800261175,0,24.91532532312204,20.893073388279703,0.022871532672545995,92.61735293427759,0.7771438734273183,5.401923347288451,43.0985733817519,0,4.313886617636606,0.2030829261827546,-0.09838061277413603,3,0,21.34907117666153,17.48347543461571,59.84585369086227,51.045467463548086
